%rank s1 s2 ntasks
19  29  21  456
9  29  16  451
16  29  20  455
51  28  28  434
60  24  11  311
30  29  27  462
81  29  1  436
65  24  13  313
78  28  10  416
63  30  6  471
93  28  13  419
88  31  1  497
3  31  8  504
96  30  1  466
101  28  18  424
8  30  2  467
2  30  27  492
94  30  25  490
109  31  16  512
31  22  22  275
37  30  8  473
106  31  6  502
53  30  16  481
66  28  5  411
71  31  27  523
68  30  21  486
47  31  21  517
84  30  0  465
50  30  14  479
92  31  2  498
107  31  7  503
59  30  20  485
90  24  24  324
10  31  9  505
22  28  22  428
32  31  15  511
95  31  31  527
15  29  19  454
42  28  24  430
44  31  20  516
28  31  14  510
64  31  25  521
23  30  4  469
85  28  11  417
89  29  4  439
74  29  0  435
46  28  3  409
105  29  12  447
99  29  9  444
3  32  21  549
77  31  28  524
25  29  23  458
7  29  15  450
5  30  28  493
94  32  8  536
20  31  12  508
33  31  17  513
34  30  7  472
37  32  25  553
82  31  0  496
41  32  14  542
0  29  7  442
55  30  17  482
29  29  26  461
39  30  9  474
81  32  16  544
38  31  19  515
108  30  26  491
70  31  26  522
62  32  2  530
35  31  18  514
80  31  29  525
60  32  31  559
75  32  6  534
68  32  20  548
30  32  1  529
52  30  15  480
58  31  23  519
88  32  19  547
100  31  4  500
104  31  5  501
96  32  28  556
101  32  32  560
11  29  17  452
13  30  3  466
43  30  10  475
36  29  28  463
86  32  7  535
48  30  12  477
12  31  10  506
106  32  17  545
57  30  19  484
51  32  15  543
56  30  18  483
53  32  26  554
67  32  4  532
24  31  13  509
79  24  22  322
66  32  27  555
83  31  30  526
61  31  24  520
98  32  9  537
10  33  11  547
19  32  12  540
26  30  5  470
6  30  29  494
16  32  0  528
45  30  11  476
4  32  10  538
87  29  3  438
63  32  13  541
47  32  23  551
97  31  3  499
2  32  18  546
109  32  3  531
54  31  22  518
103  29  11  446
17  31  11  507
18  30  30  495
21  29  22  457
73  32  5  533
8  32  24  552
9  32  11  539
31  32  30  558
49  30  13  478
71  32  22  550
91  29  5  440
1  29  13  448
90  32  29  557
102  29  10  445
69  30  22  487
68  34  1  595
14  29  18  453
13  34  14  608
27  29  24  459
41  34  20  614
0  34  2  596
40  29  29  464
85  33  6  566
52  34  21  615
77  33  16  576
59  34  25  619
7  34  31  625
94  33  20  580
37  33  31  591
86  34  6  600
62  33  14  574
35  34  16  610
67  34  27  621
89  33  19  573
74  33  1  562
93  33  8  568
99  34  8  602
11  34  32  626
22  33  25  585
39  34  19  612
108  33  21  581
76  30  24  489
80  33  4  564
